coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
MINA/USDT,0.0008071006498993834,0.0015644188962185572,0.0004194850456469472,0.00035975453696121594,0.0008337598766044956,0.0014932558696835166,0.0003393121864990701,0.00035711815616986715,0.0007819926314220249,0.0015402890284569725,-0.7297387193191636,1.25e-05,694789.83478,679068.85337
W/USDT,0.0005528470986415732,0.0012374806610011896,0.0005612998292115803,0.0005179564204090618,0.0004739521625495479,0.0011884950951442364,0.00020867001925643447,0.00027031025126990495,0.0001180129052616129,0.000501787226202948,-0.730534283260952,1.25e-05,1031221.7234900001,1812863.262718
GALA/USDT,0.0002121346863009789,0.0008661334479313343,0.000611315266139234,0.0005895478969605787,0.0005759392792058402,0.001241228813512869,0.0005348547071679015,0.00041398176075001605,0.0008062597388967176,0.001734242224842297,-0.7548135405799312,1.25e-05,865902.3626999999,3225708.234374
STX/USDT,0.000886231940448908,0.001520861933415247,0.0005827416660064905,0.0006433125258915584,0.0005830914219373093,0.0012092575435957214,0.00037302532397714825,0.0004138699893341889,0.00044905000563127295,0.0015134596847574512,-0.7729210173263967,1.25e-05,6522589.77924,9006533.63769
MKR/USDT,0.0008936327236504759,0.0015730844600654625,0.0006771621439552009,0.0006986270878932942,0.0008147744803630528,0.0015383868413724054,0.00029546479540208513,0.0003179843029357023,0.0009683502369910254,0.001835635747565243,-0.7983144345433992,1.25e-05,12061418.02308,9081435.34142
JUP/USDT,-0.0006242887785795662,4.7535192231396015e-06,0.0004219446886706196,0.0004279521860267277,-7.444103543114531e-05,0.0005393259196202552,0.00025104591448818974,0.0002084811448844176,4.235852064319414e-08,0.0005462282518357277,-0.8114342371537513,1.25e-05,4501548.5724,6073114.82311
ATOM/USDT,0.0006596210684365232,0.001141104930647611,0.00044315228684732745,0.00042195219650558287,0.0006372802154816824,0.0011485410440301683,0.00038742408547412803,0.00031624358210155653,0.0006919651887652746,0.0012727486942315097,-0.8392745030626995,1.25e-05,7950979.42659,10223633.28581499
PENGU/USDT,,,0.0020763414458887667,0.0021394473946736753,0.002794147403808242,0.004300494438730372,0.0014477512798040668,0.0017227983159312404,0.0010686828489439087,0.004440845797861835,-0.8699670602745676,0.00010634,44264259.477564,156086824.189793
XLM/USDT,0.00011421678717866355,0.0005355122853866793,0.0004892218927194204,0.00045695483961684944,-9.082938804273139e-05,0.0002644975129339314,0.00021286993229849234,0.0001270630990294673,-0.0001902176576966395,0.0001902460640923765,-0.8750096258898923,1.25e-05,1775322.44424,3450700.1705
PEOPLE/USDT,-9.229918995666385e-05,0.000789727765534313,0.0004021543355457948,0.0003637360680313523,7.930799351725784e-06,0.0008567581108890617,0.00028840695837214657,0.0002940297820316739,-0.00013326278215727337,0.0006499104729455046,-0.883095409742938,1.25e-05,482175.29529000004,1449258.010593
FET/USDT,0.0006025422190995916,0.0011396361476456352,0.0005380335165455461,0.00047616053579156297,0.00022414462152836227,0.0006758205215481658,0.00021908965407623607,0.00022309234634453583,0.00017061686359893082,0.0006256884682300514,-0.8862536804689387,1.25e-05,5506040.826,5947924.073
BOME/USDT,-7.927902544146438e-05,0.0007032155491459374,0.0003403681633061011,0.0003382025498763231,-0.00035759162461743616,0.0004474706323872667,0.0002608044462654492,0.0003425182749867055,-0.0006062938789173517,0.000363921067889419,-0.9012714920669425,1.25e-05,389662.925248,2019328.207724
MANTA/USDT,-0.0001770507129770282,0.000798696047744642,0.0005082803478333724,0.00048041947279993445,0.00010813572079549921,0.0012148742044635074,0.0002940597016673821,0.00027366158345829244,0.0004518175767109235,0.001627889196577604,-0.9039627365673738,-1.69e-05,812054.7973999999,1932270.481616
DOGE/USDT,0.0006592822884626157,0.0007981872270429378,0.0005155500690762546,0.000505765314904199,0.0005449906908538524,0.0006647790291849247,0.0003620176872313757,0.0003682417227343376,0.0008431465942779179,0.0010416703628770693,-0.9106248201409352,1.25e-05,140645180.6386,186487621.61737
ARB/USDT,-0.00017540421752551907,0.0010076714714411887,0.0006123371553438251,0.0005835456524695843,-0.0006094303084421929,0.0005840125247598752,0.0005394605346036146,0.00039514971457218275,-0.0005922694079142999,0.0005928310952167632,-0.9355870716477481,1.25e-05,9617973.3074,11368098.601527
CELO/USDT,0.0003448565165865019,0.0013787308306552363,0.0004993898560135792,0.00044378255656596355,0.0002907822582290344,0.00134123984961344,0.0003968630125488355,0.0004177658990271938,0.0009317695806010019,0.0024712058286245056,-0.9516483294923215,1.25e-05,340165.4265,576328.15051
APT/USDT,0.0009831008983140254,0.0014266435641521052,0.0006345696579224793,0.0006443560709828313,0.00038537496907316304,0.0007945608471878452,0.0003061695770047544,0.0003290317808621351,0.0005538434594678789,0.0011367006381877679,-0.991994699568141,-9.86e-06,18594335.4507,32783534.58848
NEAR/USDT,0.0007576785991090246,0.0012502628330828683,0.0006273926738294529,0.00060109623151945,0.0008532665091598091,0.0013107745386653812,0.00025627835969712834,0.00022366860986151686,0.0008514526822346041,0.0012188260544098177,-1.011516387363198,-2.22e-06,6770361.781120001,8693030.36989
ZETA/USDT,0.0003000985026278309,0.0011488681133414247,0.0006156837701008203,0.000648241243926948,0.0004008968524316535,0.0012048200362268597,0.00040910940170355687,0.0004590287599567083,0.0004782976430437788,0.0020235114844730684,-1.0289492953172512,1.25e-05,648503.69664,698474.304441
SNX/USDT,0.0004965813713644477,0.0017167975158606948,0.000582629451025892,0.0005639466406706848,0.0007381519282005003,0.002002420735467717,0.0004185559854122391,0.0003230249448563752,0.0008981949628999954,0.0021087206555240176,-1.0657501655454011,1.25e-05,1373137.2179999999,776004.55447
OMNI/USDT,-0.0010927948858135937,5.6910692840529335e-05,0.00043811468336887296,0.00038925913585360466,-0.0009144028518203823,0.00016152252386194405,0.0003360932306760673,0.00025296405710813533,-0.0006385259440285969,0.0003194328352585769,-1.0771809124506684,1.25e-05,338711.14104,492732.695431
XAI/USDT,0.0008158904407949111,0.0016924595734355528,0.0005478596576180192,0.00048630988866782225,0.0011533456248172269,0.0020523217189550263,0.0005899730142471225,0.0004501176678729332,0.0005213443190087388,0.0019947784854643315,-1.0775690874899713,1.25e-05,735459.595912,1164010.510826
TRX/USDT,0.00030598129330940675,0.0006225351135659467,0.0006072301834992849,0.0006321496047150145,0.0002352602505430788,0.0005113500122700128,0.00024927104138461835,0.0003123041128161187,0.0004918780181758801,0.0009136731799624339,-1.135818681719515,1.25e-05,8904647.9184,8967553.30955
