coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
LINK/USDT,0.0008458981014867411,0.0012603303642831636,0.0007211083443729916,0.0007415690293838058,0.001037143017650135,0.0014562626061915655,0.0007113916364098339,0.0007791378683000377,0.0005535695653630882,0.0009032572176245377,-0.9445379151989387,1.25e-05,104065949.3764,83293498.22750002
PEOPLE/USDT,-8.864082843882835e-05,0.0007945475587785176,0.00041680649061458756,0.00037248075045808067,1.188497986072945e-05,0.0008825020139724617,0.00025047649187398844,0.00026420633188641,-0.00016776818673981325,0.0006379261700443383,-0.9930276050654233,1.25e-05,515125.23531,1424631.174905
FET/USDT,0.0005979497885080991,0.0011265131249648332,0.0005194992297488095,0.0004754817696569702,0.0001801426443721562,0.0006096964370044068,0.00018160807185036142,0.00019263211854905537,0.00017230756813225122,0.0005745590503652447,-0.9964373770879639,-2.81e-06,4966455.1728,5515367.2806
DOT/USDT,-0.00034403560595184764,0.00015057096178367323,0.0004023577574864604,0.00038222351911000986,-0.0004946056293087765,4.546243808214656e-05,0.00020294624309046864,0.00021748787808297348,-0.0001810990510866662,0.00018113227503129497,-1.003967622436545,1.25e-05,2531231.8755,9088368.2686
ARB/USDT,-0.00019136539829134024,0.0009919708047598597,0.0005691230678149601,0.0005275893064016913,-0.0006455311208948714,0.0005512550110082099,0.0005173190428154884,0.00038273662038080375,-0.0002993576065033038,0.0007991419210063499,-1.029748546329111,1.25e-05,9548765.700968001,11378709.380161
ATOM/USDT,0.0006740873935615391,0.0011588712137068592,0.0005175815461458306,0.0004876442295438679,0.0007076654077316043,0.0012626997210348036,0.0003598384106126363,0.00030617600701296553,0.00047303913176273036,0.0014648497678897213,-1.038642103282404,-1.21e-06,7960615.321002,10243820.171262
MINA/USDT,0.0008122459144347891,0.0015666202822617336,0.0005925007188421432,0.00046486182447696907,0.0008646361126524397,0.001535332706589419,0.0003862826544578691,0.0004005013521963882,0.0015786454108677591,0.0022592330259843764,-1.0463570636807717,1.25e-05,692079.1129000001,683115.10344
STX/USDT,0.0009017232184495993,0.0015372752417735043,0.0005497269211461119,0.0006065872142853401,0.0006600043519329847,0.001292373010696921,0.0004302027463829719,0.0004558142081217344,0.00042086180220663057,0.0012432581227796587,-1.0713260258132646,1.25e-05,6312919.6722800005,9252633.0976
BOME/USDT,-8.175759281514815e-05,0.0007063363960010149,0.00034321494673250603,0.0003354667901660547,-0.0003216684530091486,0.0004929441886117971,0.0003184802826578017,0.00036655833227963394,-0.00024463531366551575,0.0004894283531667266,-1.102703535086832,1.25e-05,386354.884896,2023865.921173
DOGE/USDT,0.0006639585106716211,0.0008009094703051411,0.000612443606691241,0.0006013401871076678,0.0006933782329486173,0.0008161334437818966,0.0003181712286590819,0.0003076186721018231,0.0007924671040837941,0.0008668378744646136,-1.1119686948526635,-2.038e-05,141038140.6155,185243830.08677
CELO/USDT,0.00034116432130839355,0.0013777543566867315,0.0005261151164183145,0.0004123668987286749,0.00033820807676326024,0.0013760350999129207,0.0002998213335017082,0.00041419663091256593,8.545741538916155e-05,0.0013562842897655476,-1.1438141150012067,1.25e-05,338859.61199999996,579612.31083
